time energy 
0 0.32109
0.0005005 0.32161
0.001001 0.32208
0.0015015 0.32252
0.002002 0.3229
0.0025025 0.32324
0.003003 0.32354
0.0035035 0.32379
0.004004 0.324
0.0045045 0.32417
0.005005 0.3243
0.0055055 0.32439
0.006006 0.32446
0.0065065 0.3245
0.007007 0.32453
0.0075075 0.32454
0.008008 0.32455
0.0085085 0.32456
0.009009 0.32458
0.0095095 0.32461
0.01001 0.32466
0.010511 0.32474
0.011011 0.32485
0.011512 0.32499
0.012012 0.32519
0.012513 0.32543
0.013013 0.32572
0.013514 0.32606
0.014014 0.32646
0.014515 0.32692
0.015015 0.32744
0.015516 0.32801
0.016016 0.32864
0.016517 0.32932
0.017017 0.33006
0.017518 0.33084
0.018018 0.33167
0.018519 0.33253
0.019019 0.33342
0.01952 0.33434
0.02002 0.33527
0.020521 0.33622
0.021021 0.33717
0.021522 0.33811
0.022022 0.33904
0.022523 0.33995
0.023023 0.34084
0.023524 0.34169
0.024024 0.3425
0.024525 0.34327
0.025025 0.34399
0.025526 0.34465
0.026026 0.34526
0.026527 0.34582
0.027027 0.34631
0.027528 0.34675
0.028028 0.34713
0.028529 0.34745
0.029029 0.34772
0.02953 0.34795
0.03003 0.34814
0.030531 0.34829
0.031031 0.34841
0.031532 0.34851
0.032032 0.3486
0.032533 0.34868
0.033033 0.34876
0.033534 0.34886
0.034034 0.34898
0.034535 0.34913
0.035035 0.34931
0.035536 0.34954
0.036036 0.34982
0.036537 0.35015
0.037037 0.35055
0.037538 0.35101
0.038038 0.35155
0.038539 0.35215
0.039039 0.35283
0.03954 0.35358
0.04004 0.35441
0.040541 0.3553
0.041041 0.35626
0.041542 0.35728
0.042042 0.35836
0.042543 0.35948
0.043043 0.36065
0.043544 0.36186
0.044044 0.36309
0.044545 0.36434
0.045045 0.3656
0.045546 0.36686
0.046046 0.3681
0.046547 0.36933
0.047047 0.37053
0.047548 0.3717
0.048048 0.37282
0.048549 0.3739
0.049049 0.37492
0.04955 0.37587
0.05005 0.37677
0.050551 0.3776
0.051051 0.37836
0.051552 0.37906
0.052052 0.37969
0.052553 0.38026
0.053053 0.38077
0.053554 0.38123
0.054054 0.38164
0.054555 0.38201
0.055055 0.38235
0.055556 0.38266
0.056056 0.38296
0.056557 0.38325
0.057057 0.38355
0.057558 0.38385
0.058058 0.38418
0.058559 0.38454
0.059059 0.38494
0.05956 0.38538
0.06006 0.38588
0.060561 0.38643
0.061061 0.38705
0.061562 0.38773
0.062062 0.38849
0.062563 0.38931
0.063063 0.39021
0.063564 0.39118
0.064064 0.39222
0.064565 0.39332
0.065065 0.39449
0.065566 0.39571
0.066066 0.39698
0.066567 0.3983
0.067067 0.39965
0.067568 0.40103
0.068068 0.40243
0.068569 0.40384
0.069069 0.40526
0.06957 0.40667
0.07007 0.40806
0.070571 0.40944
0.071071 0.41079
0.071572 0.41211
0.072072 0.41339
0.072573 0.41463
0.073073 0.41582
0.073574 0.41697
0.074074 0.41807
0.074575 0.41913
0.075075 0.42014
0.075576 0.42111
0.076076 0.42204
0.076577 0.42293
0.077077 0.4238
0.077578 0.42465
0.078078 0.42548
0.078579 0.4263
0.079079 0.42712
0.07958 0.42794
0.08008 0.42878
0.080581 0.42963
0.081081 0.43051
0.081582 0.43142
0.082082 0.43236
0.082583 0.43334
0.083083 0.43436
0.083584 0.43543
0.084084 0.43654
0.084585 0.43769
0.085085 0.43889
0.085586 0.44013
0.086086 0.44141
0.086587 0.44272
0.087087 0.44406
0.087588 0.44543
0.088088 0.44681
0.088589 0.44821
0.089089 0.44961
0.08959 0.45101
0.09009 0.4524
0.090591 0.45378
0.091091 0.45514
0.091592 0.45647
0.092092 0.45778
0.092593 0.45906
0.093093 0.4603
