time energy 
0 0.97381
0.0005005 0.97488
0.001001 0.97593
0.0015015 0.97697
0.002002 0.978
0.0025025 0.97901
0.003003 0.98002
0.0035035 0.98101
0.004004 0.98199
0.0045045 0.98296
0.005005 0.98392
0.0055055 0.98488
0.006006 0.98583
0.0065065 0.98678
0.007007 0.98772
0.0075075 0.98866
0.008008 0.9896
0.0085085 0.99054
0.009009 0.99148
0.0095095 0.99242
0.01001 0.99337
0.010511 0.99432
0.011011 0.99529
0.011512 0.99625
0.012012 0.99723
0.012513 0.99821
0.013013 0.9992
0.013514 1.0002
0.014014 1.0012
0.014515 1.0022
0.015015 1.0032
0.015516 1.0043
0.016016 1.0053
0.016517 1.0064
0.017017 1.0074
0.017518 1.0085
0.018018 1.0095
0.018519 1.0105
0.019019 1.0116
0.01952 1.0126
0.02002 1.0137
0.020521 1.0147
0.021021 1.0157
0.021522 1.0168
0.022022 1.0178
0.022523 1.0188
0.023023 1.0198
0.023524 1.0207
0.024024 1.0217
0.024525 1.0226
0.025025 1.0236
0.025526 1.0245
0.026026 1.0254
0.026527 1.0263
0.027027 1.0271
0.027528 1.028
0.028028 1.0289
0.028529 1.0297
0.029029 1.0305
0.02953 1.0314
0.03003 1.0322
0.030531 1.033
0.031031 1.0338
0.031532 1.0346
0.032032 1.0354
0.032533 1.0362
0.033033 1.037
0.033534 1.0378
0.034034 1.0386
0.034535 1.0395
0.035035 1.0403
0.035536 1.0411
0.036036 1.042
0.036537 1.0429
0.037037 1.0437
0.037538 1.0446
0.038038 1.0455
0.038539 1.0464
0.039039 1.0473
0.03954 1.0482
0.04004 1.0491
0.040541 1.05
0.041041 1.051
0.041542 1.0519
0.042042 1.0528
0.042543 1.0537
0.043043 1.0547
0.043544 1.0556
0.044044 1.0565
0.044545 1.0574
0.045045 1.0583
0.045546 1.0592
0.046046 1.06
0.046547 1.0609
0.047047 1.0617
0.047548 1.0626
0.048048 1.0634
0.048549 1.0642
0.049049 1.0649
0.04955 1.0657
0.05005 1.0664
0.050551 1.0672
0.051051 1.0679
0.051552 1.0686
0.052052 1.0693
0.052553 1.07
0.053053 1.0706
0.053554 1.0713
0.054054 1.072
0.054555 1.0726
0.055055 1.0733
0.055556 1.0739
0.056056 1.0746
0.056557 1.0752
0.057057 1.0759
0.057558 1.0766
0.058058 1.0773
0.058559 1.0779
0.059059 1.0786
0.05956 1.0794
0.06006 1.0801
0.060561 1.0808
0.061061 1.0816
0.061562 1.0823
0.062062 1.0831
0.062563 1.0839
0.063063 1.0847
0.063564 1.0855
0.064064 1.0863
0.064565 1.0871
0.065065 1.0879
0.065566 1.0887
0.066066 1.0895
0.066567 1.0903
0.067067 1.0911
0.067568 1.0919
0.068068 1.0926
0.068569 1.0934
0.069069 1.0941
0.06957 1.0949
0.07007 1.0956
0.070571 1.0963
0.071071 1.097
0.071572 1.0976
0.072072 1.0983
0.072573 1.0989
0.073073 1.0995
0.073574 1.1001
0.074074 1.1007
0.074575 1.1013
0.075075 1.1018
0.075576 1.1024
0.076076 1.1029
0.076577 1.1034
0.077077 1.1039
0.077578 1.1045
0.078078 1.105
0.078579 1.1055
0.079079 1.106
0.07958 1.1065
