time energy 
0 0.6551
0.0005005 0.65572
0.001001 0.65634
0.0015015 0.65698
0.002002 0.65762
0.0025025 0.65827
0.003003 0.65893
0.0035035 0.6596
0.004004 0.66028
0.0045045 0.66097
0.005005 0.66166
0.0055055 0.66237
0.006006 0.66308
0.0065065 0.66381
0.007007 0.66454
0.0075075 0.66529
0.008008 0.66604
0.0085085 0.6668
0.009009 0.66757
0.0095095 0.66835
0.01001 0.66915
0.010511 0.66995
0.011011 0.67076
0.011512 0.67158
0.012012 0.67241
0.012513 0.67325
0.013013 0.6741
0.013514 0.67496
0.014014 0.67583
0.014515 0.67671
0.015015 0.6776
0.015516 0.6785
0.016016 0.67941
0.016517 0.68033
0.017017 0.68126
0.017518 0.6822
0.018018 0.68314
0.018519 0.6841
0.019019 0.68507
0.01952 0.68605
0.02002 0.68704
0.020521 0.68804
0.021021 0.68905
0.021522 0.69007
0.022022 0.69109
0.022523 0.69213
0.023023 0.69318
0.023524 0.69424
0.024024 0.6953
0.024525 0.69638
0.025025 0.69747
0.025526 0.69856
0.026026 0.69967
0.026527 0.70078
0.027027 0.7019
0.027528 0.70304
0.028028 0.70418
0.028529 0.70533
0.029029 0.70649
0.02953 0.70766
0.03003 0.70884
0.030531 0.71003
0.031031 0.71122
0.031532 0.71243
0.032032 0.71364
0.032533 0.71487
0.033033 0.7161
0.033534 0.71734
0.034034 0.71859
0.034535 0.71984
0.035035 0.72111
0.035536 0.72238
0.036036 0.72366
0.036537 0.72495
0.037037 0.72625
0.037538 0.72756
0.038038 0.72887
0.038539 0.7302
0.039039 0.73153
0.03954 0.73287
0.04004 0.73421
0.040541 0.73557
0.041041 0.73693
0.041542 0.7383
0.042042 0.73967
0.042543 0.74106
0.043043 0.74245
0.043544 0.74385
0.044044 0.74526
0.044545 0.74668
0.045045 0.7481
0.045546 0.74953
0.046046 0.75097
0.046547 0.75241
0.047047 0.75386
0.047548 0.75533
0.048048 0.75679
0.048549 0.75827
0.049049 0.75975
0.04955 0.76124
0.05005 0.76274
0.050551 0.76425
0.051051 0.76576
0.051552 0.76728
0.052052 0.76881
0.052553 0.77035
0.053053 0.7719
0.053554 0.77345
0.054054 0.77502
0.054555 0.77659
0.055055 0.77817
0.055556 0.77975
0.056056 0.78135
0.056557 0.78296
0.057057 0.78457
0.057558 0.78619
0.058058 0.78783
0.058559 0.78947
0.059059 0.79112
0.05956 0.79279
0.06006 0.79446
0.060561 0.79614
0.061061 0.79783
0.061562 0.79954
0.062062 0.80125
0.062563 0.80298
0.063063 0.80471
0.063564 0.80646
0.064064 0.80822
0.064565 0.81
0.065065 0.81178
0.065566 0.81358
0.066066 0.81539
0.066567 0.81721
0.067067 0.81905
0.067568 0.8209
0.068068 0.82276
0.068569 0.82464
0.069069 0.82653
0.06957 0.82844
0.07007 0.83036
0.070571 0.8323
0.071071 0.83425
0.071572 0.83622
0.072072 0.83821
0.072573 0.84021
0.073073 0.84223
0.073574 0.84427
0.074074 0.84632
0.074575 0.84839
0.075075 0.85048
0.075576 0.85258
0.076076 0.8547
0.076577 0.85685
0.077077 0.85901
0.077578 0.86119
0.078078 0.86338
0.078579 0.8656
0.079079 0.86784
0.07958 0.87009
0.08008 0.87237
0.080581 0.87466
0.081081 0.87697
0.081582 0.87931
0.082082 0.88166
0.082583 0.88403
0.083083 0.88643
0.083584 0.88884
0.084084 0.89127
0.084585 0.89372
0.085085 0.8962
0.085586 0.89869
0.086086 0.9012
0.086587 0.90373
0.087087 0.90628
0.087588 0.90885
0.088088 0.91144
0.088589 0.91405
0.089089 0.91668
0.08959 0.91933
0.09009 0.922
0.090591 0.92468
0.091091 0.92739
0.091592 0.93011
0.092092 0.93285
0.092593 0.93561
0.093093 0.93839
0.093594 0.94119
0.094094 0.944
0.094595 0.94683
0.095095 0.94968
0.095596 0.95255
0.096096 0.95543
0.096597 0.95833
0.097097 0.96124
0.097598 0.96418
0.098098 0.96713
0.098599 0.97009
0.099099 0.97307
0.0996 0.97607
0.1001 0.97909
0.1006 0.98212
0.1011 0.98516
0.1016 0.98822
0.1021 0.9913
0.1026 0.99439
0.1031 0.9975
0.1036 1.0006
0.1041 1.0038
0.1046 1.0069
0.10511 1.0101
0.10561 1.0133
0.10611 1.0165
0.10661 1.0197
0.10711 1.0229
0.10761 1.0262
0.10811 1.0294
0.10861 1.0327
0.10911 1.036
0.10961 1.0393
0.11011 1.0426
0.11061 1.046
0.11111 1.0493
0.11161 1.0527
0.11211 1.0561
0.11261 1.0595
0.11311 1.0629
0.11361 1.0663
0.11411 1.0698
0.11461 1.0732
0.11512 1.0767
0.11562 1.0802
0.11612 1.0837
0.11662 1.0873
0.11712 1.0908
0.11762 1.0944
0.11812 1.0979
0.11862 1.1015
0.11912 1.1051
0.11962 1.1088
0.12012 1.1124
0.12062 1.1161
0.12112 1.1197
0.12162 1.1234
0.12212 1.1271
0.12262 1.1309
0.12312 1.1346
0.12362 1.1384
0.12412 1.1421
0.12462 1.1459
0.12513 1.1497
0.12563 1.1535
0.12613 1.1574
0.12663 1.1612
0.12713 1.1651
0.12763 1.169
0.12813 1.1729
0.12863 1.1768
0.12913 1.1807
0.12963 1.1847
0.13013 1.1886
0.13063 1.1926
0.13113 1.1966
0.13163 1.2006
0.13213 1.2047
0.13263 1.2087
0.13313 1.2128
0.13363 1.2168
0.13413 1.2209
0.13463 1.225
0.13514 1.2292
0.13564 1.2333
0.13614 1.2374
0.13664 1.2416
0.13714 1.2458
0.13764 1.25
0.13814 1.2542
0.13864 1.2584
0.13914 1.2626
0.13964 1.2669
0.14014 1.2712
0.14064 1.2754
0.14114 1.2797
0.14164 1.2841
0.14214 1.2884
0.14264 1.2927
0.14314 1.2971
0.14364 1.3014
0.14414 1.3058
0.14464 1.3102
0.14515 1.3146
0.14565 1.319
0.14615 1.3235
0.14665 1.3279
0.14715 1.3324
0.14765 1.3369
0.14815 1.3413
0.14865 1.3458
0.14915 1.3504
0.14965 1.3549
0.15015 1.3594
0.15065 1.364
0.15115 1.3686
0.15165 1.3731
0.15215 1.3777
0.15265 1.3823
0.15315 1.387
0.15365 1.3916
0.15415 1.3963
0.15465 1.4009
0.15516 1.4056
0.15566 1.4103
0.15616 1.415
0.15666 1.4197
0.15716 1.4244
0.15766 1.4291
0.15816 1.4339
0.15866 1.4387
0.15916 1.4434
0.15966 1.4482
0.16016 1.453
0.16066 1.4578
0.16116 1.4627
0.16166 1.4675
0.16216 1.4723
0.16266 1.4772
0.16316 1.4821
0.16366 1.487
0.16416 1.4919
0.16466 1.4968
0.16517 1.5017
0.16567 1.5066
0.16617 1.5116
0.16667 1.5165
0.16717 1.5215
0.16767 1.5265
0.16817 1.5314
0.16867 1.5364
0.16917 1.5415
0.16967 1.5465
0.17017 1.5515
0.17067 1.5565
0.17117 1.5616
0.17167 1.5667
0.17217 1.5717
0.17267 1.5768
0.17317 1.5819
0.17367 1.587
0.17417 1.5921
0.17467 1.5972
0.17518 1.6023
0.17568 1.6075
0.17618 1.6126
0.17668 1.6178
0.17718 1.6229
0.17768 1.6281
0.17818 1.6333
0.17868 1.6385
0.17918 1.6436
0.17968 1.6488
0.18018 1.654
0.18068 1.6592
0.18118 1.6645
0.18168 1.6697
0.18218 1.6749
0.18268 1.6801
0.18318 1.6853
0.18368 1.6906
0.18418 1.6958
0.18468 1.7011
0.18519 1.7063
0.18569 1.7115
0.18619 1.7168
0.18669 1.722
0.18719 1.7273
0.18769 1.7325
0.18819 1.7378
0.18869 1.743
0.18919 1.7483
0.18969 1.7535
0.19019 1.7588
0.19069 1.764
0.19119 1.7692
0.19169 1.7745
0.19219 1.7797
0.19269 1.7849
0.19319 1.7901
0.19369 1.7953
0.19419 1.8005
0.19469 1.8057
0.1952 1.8109
0.1957 1.8161
0.1962 1.8213
0.1967 1.8264
0.1972 1.8316
0.1977 1.8367
0.1982 1.8418
0.1987 1.847
0.1992 1.8521
0.1997 1.8571
0.2002 1.8622
0.2007 1.8673
0.2012 1.8723
0.2017 1.8773
0.2022 1.8823
0.2027 1.8873
0.2032 1.8923
0.2037 1.8973
0.2042 1.9022
0.2047 1.9071
0.20521 1.912
0.20571 1.9168
0.20621 1.9216
0.20671 1.9264
0.20721 1.9312
0.20771 1.936
0.20821 1.9407
0.20871 1.9454
0.20921 1.95
0.20971 1.9547
0.21021 1.9592
0.21071 1.9638
0.21121 1.9683
0.21171 1.9728
0.21221 1.9773
0.21271 1.9817
0.21321 1.9861
0.21371 1.9905
0.21421 1.9948
0.21471 1.9991
0.21522 2.0033
0.21572 2.0076
0.21622 2.0117
0.21672 2.0159
0.21722 2.02
0.21772 2.0241
0.21822 2.0282
0.21872 2.0322
0.21922 2.0362
0.21972 2.0402
0.22022 2.0441
0.22072 2.048
0.22122 2.0519
0.22172 2.0557
0.22222 2.0595
0.22272 2.0633
0.22322 2.0671
0.22372 2.0708
0.22422 2.0745
0.22472 2.0782
0.22523 2.0819
0.22573 2.0855
0.22623 2.0891
0.22673 2.0926
0.22723 2.0962
