time energy 
0 0.97318
0.0005005 0.97423
0.001001 0.97529
0.0015015 0.97634
0.002002 0.97738
0.0025025 0.97843
0.003003 0.97947
0.0035035 0.98051
0.004004 0.98155
0.0045045 0.98259
0.005005 0.98362
0.0055055 0.98465
0.006006 0.98568
0.0065065 0.98671
0.007007 0.98773
0.0075075 0.98876
0.008008 0.98978
0.0085085 0.99079
0.009009 0.99181
0.0095095 0.99282
0.01001 0.99383
0.010511 0.99484
0.011011 0.99584
0.011512 0.99684
0.012012 0.99784
0.012513 0.99884
0.013013 0.99984
0.013514 1.0008
0.014014 1.0018
0.014515 1.0028
0.015015 1.0038
0.015516 1.0048
0.016016 1.0057
0.016517 1.0067
0.017017 1.0077
0.017518 1.0087
0.018018 1.0096
0.018519 1.0106
0.019019 1.0116
0.01952 1.0125
0.02002 1.0135
0.020521 1.0144
0.021021 1.0154
0.021522 1.0163
0.022022 1.0173
0.022523 1.0182
0.023023 1.0192
0.023524 1.0201
0.024024 1.0211
0.024525 1.022
0.025025 1.0229
0.025526 1.0238
0.026026 1.0248
0.026527 1.0257
0.027027 1.0266
0.027528 1.0275
0.028028 1.0284
0.028529 1.0294
0.029029 1.0303
0.02953 1.0312
0.03003 1.0321
0.030531 1.033
0.031031 1.0339
0.031532 1.0348
0.032032 1.0356
0.032533 1.0365
0.033033 1.0374
0.033534 1.0383
0.034034 1.0392
0.034535 1.0401
0.035035 1.0409
0.035536 1.0418
0.036036 1.0427
0.036537 1.0435
0.037037 1.0444
0.037538 1.0453
0.038038 1.0461
0.038539 1.047
0.039039 1.0478
0.03954 1.0487
0.04004 1.0495
0.040541 1.0504
0.041041 1.0512
0.041542 1.052
0.042042 1.0529
0.042543 1.0537
0.043043 1.0545
0.043544 1.0553
0.044044 1.0562
0.044545 1.057
0.045045 1.0578
0.045546 1.0586
0.046046 1.0594
0.046547 1.0602
0.047047 1.061
0.047548 1.0618
0.048048 1.0626
0.048549 1.0634
0.049049 1.0642
0.04955 1.065
0.05005 1.0658
0.050551 1.0666
0.051051 1.0674
0.051552 1.0681
0.052052 1.0689
0.052553 1.0697
0.053053 1.0704
0.053554 1.0712
0.054054 1.072
0.054555 1.0727
0.055055 1.0735
0.055556 1.0742
0.056056 1.075
0.056557 1.0757
0.057057 1.0765
0.057558 1.0772
0.058058 1.078
0.058559 1.0787
0.059059 1.0794
0.05956 1.0802
0.06006 1.0809
0.060561 1.0816
0.061061 1.0823
0.061562 1.0831
0.062062 1.0838
0.062563 1.0845
0.063063 1.0852
0.063564 1.0859
0.064064 1.0866
0.064565 1.0873
0.065065 1.088
0.065566 1.0887
0.066066 1.0894
0.066567 1.0901
0.067067 1.0908
0.067568 1.0914
0.068068 1.0921
0.068569 1.0928
0.069069 1.0935
0.06957 1.0941
0.07007 1.0948
0.070571 1.0955
0.071071 1.0961
0.071572 1.0968
0.072072 1.0975
0.072573 1.0981
0.073073 1.0988
0.073574 1.0994
0.074074 1.1001
0.074575 1.1007
0.075075 1.1014
0.075576 1.102
0.076076 1.1026
0.076577 1.1033
0.077077 1.1039
0.077578 1.1045
0.078078 1.1051
0.078579 1.1058
0.079079 1.1064
0.07958 1.107
0.08008 1.1076
0.080581 1.1082
0.081081 1.1088
0.081582 1.1094
0.082082 1.11
0.082583 1.1106
0.083083 1.1112
0.083584 1.1118
0.084084 1.1124
0.084585 1.113
0.085085 1.1136
0.085586 1.1142
0.086086 1.1148
0.086587 1.1154
0.087087 1.1159
0.087588 1.1165
0.088088 1.1171
0.088589 1.1176
0.089089 1.1182
0.08959 1.1188
0.09009 1.1193
0.090591 1.1199
0.091091 1.1205
0.091592 1.121
0.092092 1.1216
0.092593 1.1221
0.093093 1.1227
0.093594 1.1232
0.094094 1.1237
0.094595 1.1243
0.095095 1.1248
0.095596 1.1253
0.096096 1.1259
0.096597 1.1264
0.097097 1.1269
