time energy 
0 0.47997
0.0005005 0.47981
0.001001 0.47964
0.0015015 0.47946
0.002002 0.47928
0.0025025 0.47909
0.003003 0.47889
0.0035035 0.47869
0.004004 0.47849
0.0045045 0.47828
0.005005 0.47806
0.0055055 0.47784
0.006006 0.47762
0.0065065 0.47739
0.007007 0.47716
0.0075075 0.47694
0.008008 0.47671
0.0085085 0.47648
0.009009 0.47625
0.0095095 0.47603
0.01001 0.47581
0.010511 0.47559
0.011011 0.47537
0.011512 0.47516
0.012012 0.47496
0.012513 0.47476
0.013013 0.47457
0.013514 0.47438
0.014014 0.4742
0.014515 0.47403
0.015015 0.47386
0.015516 0.4737
0.016016 0.47355
0.016517 0.4734
0.017017 0.47325
0.017518 0.47311
0.018018 0.47297
0.018519 0.47284
0.019019 0.47271
0.01952 0.47258
0.02002 0.47245
0.020521 0.47232
0.021021 0.47219
0.021522 0.47206
0.022022 0.47192
0.022523 0.47179
0.023023 0.47165
0.023524 0.47151
0.024024 0.47136
0.024525 0.47121
0.025025 0.47105
0.025526 0.47089
0.026026 0.47072
0.026527 0.47055
0.027027 0.47038
0.027528 0.47019
0.028028 0.47001
0.028529 0.46982
0.029029 0.46962
0.02953 0.46942
0.03003 0.46922
0.030531 0.46902
0.031031 0.46881
0.031532 0.46861
0.032032 0.4684
0.032533 0.4682
0.033033 0.46799
0.033534 0.46779
0.034034 0.46759
0.034535 0.46739
0.035035 0.4672
0.035536 0.46701
0.036036 0.46683
0.036537 0.46665
0.037037 0.46647
0.037538 0.4663
0.038038 0.46614
0.038539 0.46598
0.039039 0.46583
0.03954 0.46568
0.04004 0.46553
0.040541 0.46539
0.041041 0.46526
0.041542 0.46512
0.042042 0.46499
0.042543 0.46486
0.043043 0.46474
0.043544 0.46461
0.044044 0.46449
0.044545 0.46436
0.045045 0.46423
0.045546 0.4641
0.046046 0.46397
0.046547 0.46384
0.047047 0.4637
0.047548 0.46356
0.048048 0.46342
0.048549 0.46327
0.049049 0.46312
0.04955 0.46296
0.05005 0.4628
0.050551 0.46263
0.051051 0.46247
0.051552 0.46229
0.052052 0.46212
0.052553 0.46194
0.053053 0.46176
0.053554 0.46158
0.054054 0.4614
0.054555 0.46122
0.055055 0.46104
0.055556 0.46086
0.056056 0.46068
0.056557 0.4605
0.057057 0.46033
0.057558 0.46015
0.058058 0.45999
0.058559 0.45982
0.059059 0.45966
0.05956 0.4595
0.06006 0.45935
0.060561 0.45921
0.061061 0.45906
0.061562 0.45893
0.062062 0.45879
0.062563 0.45866
0.063063 0.45854
0.063564 0.45841
0.064064 0.45829
0.064565 0.45818
0.065065 0.45806
0.065566 0.45794
0.066066 0.45783
0.066567 0.45772
0.067067 0.4576
0.067568 0.45748
0.068068 0.45737
0.068569 0.45725
0.069069 0.45712
0.06957 0.457
0.07007 0.45687
0.070571 0.45674
0.071071 0.4566
0.071572 0.45647
0.072072 0.45632
0.072573 0.45618
0.073073 0.45603
0.073574 0.45588
0.074074 0.45573
0.074575 0.45557
0.075075 0.45541
0.075576 0.45526
0.076076 0.4551
0.076577 0.45494
0.077077 0.45478
0.077578 0.45463
0.078078 0.45447
0.078579 0.45432
0.079079 0.45417
0.07958 0.45402
0.08008 0.45388
0.080581 0.45374
0.081081 0.45361
0.081582 0.45348
0.082082 0.45335
0.082583 0.45323
0.083083 0.45311
0.083584 0.453
0.084084 0.45289
0.084585 0.45279
0.085085 0.45268
0.085586 0.45258
0.086086 0.45249
0.086587 0.45239
0.087087 0.4523
0.087588 0.4522
0.088088 0.45211
0.088589 0.45202
0.089089 0.45192
0.08959 0.45183
0.09009 0.45173
0.090591 0.45163
0.091091 0.45153
0.091592 0.45142
0.092092 0.45131
0.092593 0.4512
0.093093 0.45109
0.093594 0.45097
0.094094 0.45085
0.094595 0.45073
0.095095 0.4506
0.095596 0.45048
0.096096 0.45035
0.096597 0.45022
0.097097 0.45009
0.097598 0.44996
0.098098 0.44983
0.098599 0.4497
0.099099 0.44957
0.0996 0.44944
0.1001 0.44932
0.1006 0.4492
0.1011 0.44908
0.1016 0.44897
0.1021 0.44886
0.1026 0.44876
0.1031 0.44866
0.1036 0.44857
0.1041 0.44848
0.1046 0.44839
0.10511 0.44831
0.10561 0.44823
0.10611 0.44816
0.10661 0.44809
0.10711 0.44802
0.10761 0.44796
0.10811 0.44789
0.10861 0.44783
0.10911 0.44777
0.10961 0.44771
0.11011 0.44764
0.11061 0.44758
0.11111 0.44751
0.11161 0.44745
0.11211 0.44738
0.11261 0.44731
0.11311 0.44723
0.11361 0.44716
0.11411 0.44708
0.11461 0.447
0.11512 0.44691
0.11562 0.44682
0.11612 0.44674
0.11662 0.44664
0.11712 0.44655
0.11762 0.44646
0.11812 0.44637
0.11862 0.44627
0.11912 0.44618
0.11962 0.44609
0.12012 0.446
0.12062 0.44592
0.12112 0.44584
0.12162 0.44576
0.12212 0.44568
0.12262 0.44561
0.12312 0.44555
0.12362 0.44548
0.12412 0.44543
0.12462 0.44538
0.12513 0.44533
0.12563 0.44529
0.12613 0.44525
0.12663 0.44522
0.12713 0.44519
0.12763 0.44516
0.12813 0.44514
0.12863 0.44512
0.12913 0.4451
0.12963 0.44508
0.13013 0.44506
0.13063 0.44505
0.13113 0.44503
0.13163 0.44501
0.13213 0.44499
0.13263 0.44498
0.13313 0.44495
0.13363 0.44493
0.13413 0.4449
0.13463 0.44488
0.13514 0.44485
0.13564 0.44482
0.13614 0.44478
0.13664 0.44475
0.13714 0.44471
0.13764 0.44468
0.13814 0.44464
0.13864 0.44461
0.13914 0.44457
0.13964 0.44454
0.14014 0.44451
0.14064 0.44448
0.14114 0.44446
0.14164 0.44444
0.14214 0.44442
0.14264 0.44441
0.14314 0.4444
0.14364 0.4444
0.14414 0.4444
0.14464 0.44441
0.14515 0.44443
0.14565 0.44445
0.14615 0.44447
0.14665 0.4445
0.14715 0.44454
0.14765 0.44458
0.14815 0.44462
0.14865 0.44467
0.14915 0.44472
0.14965 0.44478
0.15015 0.44483
0.15065 0.44489
0.15115 0.44495
0.15165 0.445
0.15215 0.44506
0.15265 0.44512
0.15315 0.44518
0.15365 0.44524
0.15415 0.4453
0.15465 0.44535
0.15516 0.44541
0.15566 0.44547
0.15616 0.44552
0.15666 0.44558
0.15716 0.44564
0.15766 0.4457
0.15816 0.44576
0.15866 0.44583
0.15916 0.4459
0.15966 0.44597
0.16016 0.44604
0.16066 0.44613
0.16116 0.44621
0.16166 0.44631
0.16216 0.4464
0.16266 0.44651
0.16316 0.44663
0.16366 0.44675
0.16416 0.44688
0.16466 0.44701
0.16517 0.44716
0.16567 0.44731
0.16617 0.44747
0.16667 0.44764
0.16717 0.44781
0.16767 0.44799
0.16817 0.44818
0.16867 0.44837
0.16917 0.44857
0.16967 0.44878
0.17017 0.44899
0.17067 0.4492
0.17117 0.44942
0.17167 0.44964
0.17217 0.44987
0.17267 0.4501
0.17317 0.45033
0.17367 0.45057
0.17417 0.45082
0.17467 0.45107
0.17518 0.45133
0.17568 0.45159
0.17618 0.45186
0.17668 0.45215
0.17718 0.45244
0.17768 0.45274
0.17818 0.45306
0.17868 0.45338
0.17918 0.45373
0.17968 0.45409
0.18018 0.45446
0.18068 0.45485
0.18118 0.45527
0.18168 0.4557
0.18218 0.45615
0.18268 0.45663
0.18318 0.45713
0.18368 0.45765
0.18418 0.45819
0.18468 0.45876
0.18519 0.45936
0.18569 0.45998
0.18619 0.46063
0.18669 0.46131
0.18719 0.46202
0.18769 0.46276
0.18819 0.46353
0.18869 0.46433
0.18919 0.46517
0.18969 0.46605
0.19019 0.46697
0.19069 0.46793
0.19119 0.46894
0.19169 0.47001
0.19219 0.47113
0.19269 0.47231
0.19319 0.47356
0.19369 0.47488
0.19419 0.47628
0.19469 0.47776
0.1952 0.47934
0.1957 0.48102
0.1962 0.48281
0.1967 0.48471
0.1972 0.48674
0.1977 0.4889
0.1982 0.4912
0.1987 0.49365
0.1992 0.49625
0.1997 0.49901
0.2002 0.50194
0.2007 0.50504
0.2012 0.50832
0.2017 0.51179
0.2022 0.51543
0.2027 0.51926
0.2032 0.52328
0.2037 0.52748
0.2042 0.53186
0.2047 0.53642
0.20521 0.54115
0.20571 0.54605
0.20621 0.5511
0.20671 0.5563
0.20721 0.56163
0.20771 0.56708
0.20821 0.57264
0.20871 0.5783
0.20921 0.58402
0.20971 0.58981
0.21021 0.59563
0.21071 0.60147
0.21121 0.60732
0.21171 0.61315
0.21221 0.61895
0.21271 0.6247
0.21321 0.63038
0.21371 0.63598
0.21421 0.64148
0.21471 0.64686
0.21522 0.65212
0.21572 0.65725
0.21622 0.66223
0.21672 0.66706
0.21722 0.67172
0.21772 0.67623
0.21822 0.68057
0.21872 0.68474
0.21922 0.68874
0.21972 0.69257
0.22022 0.69623
0.22072 0.69974
0.22122 0.70308
0.22172 0.70628
0.22222 0.70933
0.22272 0.71223
0.22322 0.71501
0.22372 0.71766
0.22422 0.7202
0.22472 0.72262
0.22523 0.72495
0.22573 0.72719
0.22623 0.72934
0.22673 0.73141
0.22723 0.73341
0.22773 0.73535
0.22823 0.73724
0.22873 0.73907
0.22923 0.74085
0.22973 0.74259
0.23023 0.74429
0.23073 0.74595
0.23123 0.74758
0.23173 0.74918
0.23223 0.75074
0.23273 0.75228
0.23323 0.75378
0.23373 0.75526
0.23423 0.7567
0.23473 0.75811
0.23524 0.75949
0.23574 0.76084
0.23624 0.76216
0.23674 0.76344
0.23724 0.76469
0.23774 0.76591
0.23824 0.76708
0.23874 0.76823
0.23924 0.76934
0.23974 0.77042
0.24024 0.77147
0.24074 0.77248
0.24124 0.77347
0.24174 0.77443
0.24224 0.77536
0.24274 0.77627
0.24324 0.77715
0.24374 0.77802
0.24424 0.77887
0.24474 0.7797
0.24525 0.78053
0.24575 0.78134
0.24625 0.78215
0.24675 0.78295
0.24725 0.78374
0.24775 0.78453
0.24825 0.78532
0.24875 0.78611
0.24925 0.7869
0.24975 0.78768
0.25025 0.78847
0.25075 0.78926
0.25125 0.79004
0.25175 0.79082
0.25225 0.7916
0.25275 0.79238
0.25325 0.79315
0.25375 0.79391
0.25425 0.79467
0.25475 0.79541
0.25526 0.79615
0.25576 0.79687
0.25626 0.79757
0.25676 0.79827
0.25726 0.79894
0.25776 0.79961
0.25826 0.80025
0.25876 0.80088
0.25926 0.80149
0.25976 0.80209
0.26026 0.80267
0.26076 0.80323
0.26126 0.80379
0.26176 0.80433
0.26226 0.80485
0.26276 0.80537
0.26326 0.80589
0.26376 0.80639
0.26426 0.80689
0.26476 0.80739
0.26527 0.80788
0.26577 0.80838
0.26627 0.80888
0.26677 0.80937
0.26727 0.80987
0.26777 0.81038
0.26827 0.81088
0.26877 0.81139
0.26927 0.81191
0.26977 0.81242
0.27027 0.81294
0.27077 0.81347
0.27127 0.81399
0.27177 0.81451
0.27227 0.81503
0.27277 0.81555
0.27327 0.81607
0.27377 0.81658
0.27427 0.81709
0.27477 0.81758
0.27528 0.81807
0.27578 0.81855
0.27628 0.81902
0.27678 0.81948
0.27728 0.81992
0.27778 0.82036
0.27828 0.82078
0.27878 0.82119
0.27928 0.82159
0.27978 0.82198
0.28028 0.82236
0.28078 0.82273
0.28128 0.82309
0.28178 0.82345
0.28228 0.8238
0.28278 0.82415
0.28328 0.82449
0.28378 0.82483
0.28428 0.82517
0.28478 0.82552
0.28529 0.82586
0.28579 0.82621
0.28629 0.82656
0.28679 0.82691
0.28729 0.82727
0.28779 0.82763
0.28829 0.828
0.28879 0.82837
0.28929 0.82874
0.28979 0.82912
0.29029 0.8295
0.29079 0.82988
0.29129 0.83026
0.29179 0.83064
0.29229 0.83102
0.29279 0.8314
0.29329 0.83177
0.29379 0.83214
0.29429 0.8325
0.29479 0.83285
0.2953 0.8332
0.2958 0.83354
0.2963 0.83386
0.2968 0.83418
0.2973 0.83449
0.2978 0.83479
0.2983 0.83508
0.2988 0.83536
0.2993 0.83564
0.2998 0.83591
0.3003 0.83617
0.3008 0.83642
0.3013 0.83667
0.3018 0.83692
0.3023 0.83717
0.3028 0.83742
0.3033 0.83766
0.3038 0.83791
0.3043 0.83816
0.3048 0.83841
0.30531 0.83867
0.30581 0.83893
0.30631 0.8392
0.30681 0.83947
0.30731 0.83975
0.30781 0.84002
0.30831 0.84031
0.30881 0.8406
0.30931 0.84089
0.30981 0.84118
0.31031 0.84147
0.31081 0.84176
0.31131 0.84205
0.31181 0.84234
0.31231 0.84263
0.31281 0.84291
0.31331 0.84319
0.31381 0.84346
0.31431 0.84372
0.31481 0.84398
0.31532 0.84422
0.31582 0.84447
0.31632 0.8447
0.31682 0.84492
0.31732 0.84514
0.31782 0.84535
0.31832 0.84555
0.31882 0.84575
0.31932 0.84594
0.31982 0.84613
0.32032 0.84632
0.32082 0.8465
0.32132 0.84669
0.32182 0.84687
0.32232 0.84705
0.32282 0.84724
0.32332 0.84743
0.32382 0.84762
0.32432 0.84781
0.32482 0.84801
0.32533 0.84822
0.32583 0.84843
0.32633 0.84864
0.32683 0.84886
0.32733 0.84908
0.32783 0.8493
0.32833 0.84953
0.32883 0.84976
0.32933 0.84999
0.32983 0.85022
0.33033 0.85045
0.33083 0.85067
0.33133 0.8509
0.33183 0.85111
0.33233 0.85133
0.33283 0.85154
0.33333 0.85174
0.33383 0.85194
0.33433 0.85213
0.33483 0.85231
0.33534 0.85248
0.33584 0.85265
0.33634 0.85281
0.33684 0.85297
0.33734 0.85312
0.33784 0.85326
0.33834 0.8534
0.33884 0.85354
0.33934 0.85368
0.33984 0.85381
0.34034 0.85395
0.34084 0.85408
0.34134 0.85422
0.34184 0.85436
0.34234 0.8545
0.34284 0.85465
0.34334 0.8548
0.34384 0.85496
0.34434 0.85512
0.34484 0.85528
0.34535 0.85545
0.34585 0.85563
0.34635 0.8558
0.34685 0.85598
0.34735 0.85616
0.34785 0.85635
0.34835 0.85653
0.34885 0.85671
0.34935 0.8569
0.34985 0.85708
0.35035 0.85725
0.35085 0.85742
0.35135 0.85759
0.35185 0.85775
0.35235 0.85791
0.35285 0.85806
0.35335 0.8582
0.35385 0.85834
0.35435 0.85847
0.35485 0.8586
0.35536 0.85871
0.35586 0.85883
0.35636 0.85894
0.35686 0.85904
0.35736 0.85915
0.35786 0.85925
0.35836 0.85935
0.35886 0.85945
0.35936 0.85955
0.35986 0.85965
0.36036 0.85976
0.36086 0.85986
0.36136 0.85998
0.36186 0.86009
0.36236 0.86021
0.36286 0.86034
0.36336 0.86047
0.36386 0.8606
0.36436 0.86074
0.36486 0.86088
0.36537 0.86103
0.36587 0.86117
0.36637 0.86132
0.36687 0.86147
0.36737 0.86162
0.36787 0.86177
0.36837 0.86191
0.36887 0.86206
0.36937 0.86219
0.36987 0.86233
0.37037 0.86246
0.37087 0.86258
0.37137 0.8627
0.37187 0.86281
0.37237 0.86292
0.37287 0.86302
0.37337 0.86311
0.37387 0.8632
0.37437 0.86328
0.37487 0.86336
0.37538 0.86344
0.37588 0.86352
0.37638 0.86359
0.37688 0.86366
0.37738 0.86373
0.37788 0.86381
0.37838 0.86388
0.37888 0.86396
0.37938 0.86404
0.37988 0.86412
0.38038 0.86421
0.38088 0.86431
0.38138 0.86441
0.38188 0.86451
0.38238 0.86462
0.38288 0.86473
0.38338 0.86485
0.38388 0.86496
0.38438 0.86508
0.38488 0.86521
0.38539 0.86533
0.38589 0.86545
0.38639 0.86557
0.38689 0.86569
0.38739 0.86581
0.38789 0.86592
0.38839 0.86603
0.38889 0.86613
0.38939 0.86623
0.38989 0.86632
0.39039 0.86641
0.39089 0.86649
0.39139 0.86656
0.39189 0.86663
0.39239 0.86669
0.39289 0.86675
0.39339 0.86681
0.39389 0.86686
0.39439 0.86691
0.39489 0.86696
0.3954 0.86701
0.3959 0.86706
0.3964 0.86711
0.3969 0.86717
0.3974 0.86722
0.3979 0.86729
0.3984 0.86735
0.3989 0.86742
0.3994 0.8675
0.3999 0.86758
0.4004 0.86766
0.4009 0.86775
0.4014 0.86784
0.4019 0.86794
0.4024 0.86804
0.4029 0.86814
0.4034 0.86824
0.4039 0.86834
0.4044 0.86845
0.4049 0.86855
0.40541 0.86865
0.40591 0.86874
0.40641 0.86883
0.40691 0.86892
0.40741 0.869
0.40791 0.86907
0.40841 0.86914
0.40891 0.8692
0.40941 0.86926
0.40991 0.86931
0.41041 0.86936
0.41091 0.8694
0.41141 0.86944
0.41191 0.86948
0.41241 0.86951
0.41291 0.86954
0.41341 0.86957
0.41391 0.8696
0.41441 0.86963
0.41491 0.86967
0.41542 0.86971
0.41592 0.86975
0.41642 0.8698
0.41692 0.86985
0.41742 0.86991
0.41792 0.86997
0.41842 0.87003
0.41892 0.87011
0.41942 0.87018
0.41992 0.87026
0.42042 0.87035
0.42092 0.87043
0.42142 0.87052
0.42192 0.87061
0.42242 0.87069
0.42292 0.87078
0.42342 0.87086
0.42392 0.87094
0.42442 0.87102
0.42492 0.87109
0.42543 0.87116
0.42593 0.87122
0.42643 0.87127
0.42693 0.87132
0.42743 0.87136
0.42793 0.8714
0.42843 0.87143
0.42893 0.87146
0.42943 0.87148
0.42993 0.8715
0.43043 0.87152
0.43093 0.87153
0.43143 0.87155
0.43193 0.87156
0.43243 0.87158
0.43293 0.8716
0.43343 0.87162
0.43393 0.87165
0.43443 0.87168
0.43493 0.87172
0.43544 0.87177
0.43594 0.87182
0.43644 0.87187
0.43694 0.87193
0.43744 0.87199
0.43794 0.87206
0.43844 0.87214
0.43894 0.87221
0.43944 0.87229
0.43994 0.87236
0.44044 0.87244
