time energy 
0 NaNNaNi
0.0005005 NaNNaNi
0.001001 NaNNaNi
0.0015015 NaNNaNi
0.002002 NaNNaNi
0.0025025 NaNNaNi
0.003003 NaNNaNi
0.0035035 NaNNaNi
0.004004 NaNNaNi
0.0045045 NaNNaNi
0.005005 NaNNaNi
0.0055055 NaNNaNi
0.006006 NaNNaNi
0.0065065 NaNNaNi
0.007007 NaNNaNi
0.0075075 NaNNaNi
0.008008 NaNNaNi
0.0085085 NaNNaNi
0.009009 NaNNaNi
0.0095095 NaNNaNi
0.01001 NaNNaNi
0.010511 NaNNaNi
0.011011 NaNNaNi
0.011512 NaNNaNi
0.012012 NaNNaNi
0.012513 NaNNaNi
0.013013 NaNNaNi
0.013514 NaNNaNi
0.014014 NaNNaNi
0.014515 NaNNaNi
0.015015 NaNNaNi
0.015516 NaNNaNi
0.016016 NaNNaNi
0.016517 NaNNaNi
0.017017 NaNNaNi
0.017518 NaNNaNi
0.018018 NaNNaNi
0.018519 NaNNaNi
0.019019 NaNNaNi
0.01952 NaNNaNi
0.02002 NaNNaNi
0.020521 NaNNaNi
0.021021 NaNNaNi
0.021522 NaNNaNi
0.022022 NaNNaNi
0.022523 NaNNaNi
0.023023 NaNNaNi
0.023524 NaNNaNi
0.024024 NaNNaNi
0.024525 NaNNaNi
0.025025 NaNNaNi
0.025526 NaNNaNi
0.026026 NaNNaNi
0.026527 NaNNaNi
0.027027 NaNNaNi
0.027528 NaNNaNi
0.028028 NaNNaNi
0.028529 NaNNaNi
0.029029 NaNNaNi
0.02953 NaNNaNi
0.03003 NaNNaNi
0.030531 NaNNaNi
0.031031 NaNNaNi
0.031532 NaNNaNi
0.032032 NaNNaNi
0.032533 NaNNaNi
0.033033 NaNNaNi
0.033534 NaNNaNi
0.034034 NaNNaNi
0.034535 NaNNaNi
0.035035 NaNNaNi
0.035536 NaNNaNi
0.036036 NaNNaNi
0.036537 NaNNaNi
0.037037 NaNNaNi
0.037538 NaNNaNi
0.038038 NaNNaNi
0.038539 NaNNaNi
0.039039 NaNNaNi
0.03954 NaNNaNi
0.04004 NaNNaNi
0.040541 NaNNaNi
0.041041 NaNNaNi
0.041542 NaNNaNi
0.042042 NaNNaNi
0.042543 NaNNaNi
0.043043 NaNNaNi
0.043544 NaNNaNi
0.044044 NaNNaNi
0.044545 NaNNaNi
0.045045 NaNNaNi
0.045546 NaNNaNi
0.046046 NaNNaNi
0.046547 NaNNaNi
0.047047 NaNNaNi
0.047548 NaNNaNi
0.048048 NaNNaNi
0.048549 NaNNaNi
0.049049 NaNNaNi
0.04955 NaNNaNi
0.05005 NaNNaNi
0.050551 NaNNaNi
0.051051 NaNNaNi
0.051552 NaNNaNi
0.052052 NaNNaNi
0.052553 NaNNaNi
0.053053 NaNNaNi
0.053554 NaNNaNi
0.054054 NaNNaNi
0.054555 NaNNaNi
0.055055 NaNNaNi
0.055556 NaNNaNi
0.056056 NaNNaNi
0.056557 NaNNaNi
0.057057 NaNNaNi
0.057558 NaNNaNi
0.058058 NaNNaNi
0.058559 NaNNaNi
0.059059 NaNNaNi
0.05956 NaNNaNi
0.06006 NaNNaNi
0.060561 NaNNaNi
0.061061 NaNNaNi
0.061562 NaNNaNi
0.062062 NaNNaNi
0.062563 NaNNaNi
0.063063 NaNNaNi
0.063564 NaNNaNi
0.064064 NaNNaNi
0.064565 NaNNaNi
0.065065 NaNNaNi
0.065566 NaNNaNi
0.066066 NaNNaNi
0.066567 NaNNaNi
0.067067 NaNNaNi
0.067568 NaNNaNi
0.068068 NaNNaNi
0.068569 NaNNaNi
0.069069 NaNNaNi
0.06957 NaNNaNi
0.07007 NaNNaNi
0.070571 NaNNaNi
0.071071 NaNNaNi
0.071572 NaNNaNi
0.072072 NaNNaNi
0.072573 NaNNaNi
0.073073 NaNNaNi
0.073574 NaNNaNi
0.074074 NaNNaNi
0.074575 NaNNaNi
0.075075 NaNNaNi
0.075576 NaNNaNi
0.076076 NaNNaNi
0.076577 NaNNaNi
0.077077 NaNNaNi
0.077578 NaNNaNi
0.078078 NaNNaNi
0.078579 NaNNaNi
0.079079 NaNNaNi
0.07958 NaNNaNi
0.08008 NaNNaNi
0.080581 NaNNaNi
0.081081 NaNNaNi
0.081582 NaNNaNi
0.082082 NaNNaNi
0.082583 NaNNaNi
0.083083 NaNNaNi
0.083584 NaNNaNi
0.084084 NaNNaNi
0.084585 NaNNaNi
0.085085 NaNNaNi
0.085586 NaNNaNi
0.086086 NaNNaNi
0.086587 NaNNaNi
0.087087 NaNNaNi
0.087588 NaNNaNi
0.088088 NaNNaNi
0.088589 NaNNaNi
0.089089 NaNNaNi
0.08959 NaNNaNi
0.09009 NaNNaNi
0.090591 NaNNaNi
0.091091 NaNNaNi
0.091592 NaNNaNi
0.092092 NaNNaNi
0.092593 NaNNaNi
0.093093 NaNNaNi
0.093594 NaNNaNi
0.094094 NaNNaNi
0.094595 NaNNaNi
0.095095 NaNNaNi
0.095596 NaNNaNi
0.096096 NaNNaNi
0.096597 NaNNaNi
0.097097 NaNNaNi
0.097598 NaNNaNi
0.098098 NaNNaNi
0.098599 NaNNaNi
0.099099 NaNNaNi
0.0996 NaNNaNi
0.1001 NaNNaNi
0.1006 NaNNaNi
0.1011 NaNNaNi
0.1016 NaNNaNi
0.1021 NaNNaNi
0.1026 NaNNaNi
0.1031 NaNNaNi
0.1036 NaNNaNi
0.1041 NaNNaNi
0.1046 NaNNaNi
0.10511 NaNNaNi
0.10561 NaNNaNi
0.10611 NaNNaNi
0.10661 NaNNaNi
0.10711 NaNNaNi
0.10761 NaNNaNi
0.10811 NaNNaNi
0.10861 NaNNaNi
0.10911 NaNNaNi
0.10961 NaNNaNi
0.11011 NaNNaNi
0.11061 NaNNaNi
0.11111 NaNNaNi
0.11161 NaNNaNi
0.11211 NaNNaNi
0.11261 NaNNaNi
0.11311 NaNNaNi
0.11361 NaNNaNi
0.11411 NaNNaNi
0.11461 NaNNaNi
0.11512 NaNNaNi
0.11562 NaNNaNi
0.11612 NaNNaNi
0.11662 NaNNaNi
0.11712 NaNNaNi
0.11762 NaNNaNi
0.11812 NaNNaNi
0.11862 NaNNaNi
0.11912 NaNNaNi
0.11962 NaNNaNi
0.12012 NaNNaNi
0.12062 NaNNaNi
0.12112 NaNNaNi
0.12162 NaNNaNi
0.12212 NaNNaNi
0.12262 NaNNaNi
0.12312 NaNNaNi
0.12362 NaNNaNi
0.12412 NaNNaNi
0.12462 NaNNaNi
0.12513 NaNNaNi
0.12563 NaNNaNi
0.12613 NaNNaNi
0.12663 NaNNaNi
0.12713 NaNNaNi
0.12763 NaNNaNi
0.12813 NaNNaNi
0.12863 NaNNaNi
0.12913 NaNNaNi
0.12963 NaNNaNi
0.13013 NaNNaNi
0.13063 NaNNaNi
0.13113 NaNNaNi
0.13163 NaNNaNi
0.13213 NaNNaNi
0.13263 NaNNaNi
0.13313 NaNNaNi
0.13363 NaNNaNi
0.13413 NaNNaNi
0.13463 NaNNaNi
0.13514 NaNNaNi
0.13564 NaNNaNi
0.13614 NaNNaNi
0.13664 NaNNaNi
0.13714 NaNNaNi
0.13764 NaNNaNi
0.13814 NaNNaNi
0.13864 NaNNaNi
0.13914 NaNNaNi
0.13964 NaNNaNi
0.14014 NaNNaNi
0.14064 NaNNaNi
0.14114 NaNNaNi
0.14164 NaNNaNi
0.14214 NaNNaNi
0.14264 NaNNaNi
0.14314 NaNNaNi
0.14364 NaNNaNi
0.14414 NaNNaNi
0.14464 NaNNaNi
0.14515 NaNNaNi
0.14565 NaNNaNi
0.14615 NaNNaNi
0.14665 NaNNaNi
0.14715 NaNNaNi
0.14765 NaNNaNi
0.14815 NaNNaNi
0.14865 NaNNaNi
0.14915 NaNNaNi
0.14965 NaNNaNi
0.15015 NaNNaNi
0.15065 NaNNaNi
0.15115 NaNNaNi
0.15165 NaNNaNi
0.15215 NaNNaNi
0.15265 NaNNaNi
0.15315 NaNNaNi
0.15365 NaNNaNi
0.15415 NaNNaNi
0.15465 NaNNaNi
0.15516 NaNNaNi
0.15566 NaNNaNi
0.15616 NaNNaNi
0.15666 NaNNaNi
