time energy 
0 0.77054
0.0005005 0.77126
0.001001 0.77198
0.0015015 0.77269
0.002002 0.77341
0.0025025 0.77413
0.003003 0.77485
0.0035035 0.77557
0.004004 0.77629
0.0045045 0.77701
0.005005 0.77773
0.0055055 0.77845
0.006006 0.77917
0.0065065 0.77989
0.007007 0.78061
0.0075075 0.78134
0.008008 0.78206
0.0085085 0.78278
0.009009 0.7835
0.0095095 0.78422
0.01001 0.78494
0.010511 0.78567
0.011011 0.78639
0.011512 0.78711
0.012012 0.78783
0.012513 0.78856
0.013013 0.78928
0.013514 0.79
0.014014 0.79073
0.014515 0.79145
0.015015 0.79217
0.015516 0.7929
0.016016 0.79362
0.016517 0.79435
0.017017 0.79507
0.017518 0.7958
0.018018 0.79652
0.018519 0.79725
0.019019 0.79798
0.01952 0.7987
0.02002 0.79943
0.020521 0.80016
0.021021 0.80088
0.021522 0.80161
0.022022 0.80234
0.022523 0.80307
0.023023 0.8038
0.023524 0.80452
0.024024 0.80525
0.024525 0.80598
0.025025 0.80671
0.025526 0.80744
0.026026 0.80817
0.026527 0.8089
0.027027 0.80963
0.027528 0.81037
0.028028 0.8111
0.028529 0.81183
0.029029 0.81256
0.02953 0.81329
0.03003 0.81403
0.030531 0.81476
0.031031 0.81549
0.031532 0.81623
0.032032 0.81696
0.032533 0.8177
0.033033 0.81843
0.033534 0.81917
0.034034 0.8199
0.034535 0.82064
0.035035 0.82137
0.035536 0.82211
0.036036 0.82285
0.036537 0.82359
0.037037 0.82433
0.037538 0.82506
0.038038 0.8258
0.038539 0.82654
0.039039 0.82728
0.03954 0.82802
0.04004 0.82876
0.040541 0.8295
0.041041 0.83025
0.041542 0.83099
0.042042 0.83173
0.042543 0.83247
0.043043 0.83322
0.043544 0.83396
0.044044 0.83471
0.044545 0.83545
0.045045 0.8362
0.045546 0.83694
0.046046 0.83769
0.046547 0.83844
0.047047 0.83918
0.047548 0.83993
0.048048 0.84068
0.048549 0.84143
0.049049 0.84218
0.04955 0.84293
0.05005 0.84368
0.050551 0.84443
0.051051 0.84518
0.051552 0.84593
0.052052 0.84669
0.052553 0.84744
0.053053 0.84819
0.053554 0.84895
0.054054 0.8497
0.054555 0.85046
0.055055 0.85121
0.055556 0.85197
0.056056 0.85273
0.056557 0.85349
0.057057 0.85424
0.057558 0.855
0.058058 0.85576
0.058559 0.85652
0.059059 0.85728
0.05956 0.85805
0.06006 0.85881
0.060561 0.85957
0.061061 0.86034
0.061562 0.8611
0.062062 0.86186
0.062563 0.86263
0.063063 0.8634
0.063564 0.86416
0.064064 0.86493
0.064565 0.8657
0.065065 0.86647
0.065566 0.86724
0.066066 0.86801
0.066567 0.86878
0.067067 0.86955
0.067568 0.87032
0.068068 0.8711
0.068569 0.87187
0.069069 0.87265
0.06957 0.87342
0.07007 0.8742
0.070571 0.87497
0.071071 0.87575
0.071572 0.87653
0.072072 0.87731
0.072573 0.87809
0.073073 0.87887
0.073574 0.87965
0.074074 0.88044
0.074575 0.88122
0.075075 0.882
0.075576 0.88279
0.076076 0.88357
0.076577 0.88436
0.077077 0.88515
0.077578 0.88593
0.078078 0.88672
0.078579 0.88751
0.079079 0.8883
0.07958 0.88909
0.08008 0.88989
0.080581 0.89068
0.081081 0.89147
0.081582 0.89227
0.082082 0.89306
0.082583 0.89386
0.083083 0.89466
0.083584 0.89546
0.084084 0.89626
0.084585 0.89706
0.085085 0.89786
0.085586 0.89866
0.086086 0.89946
0.086587 0.90026
0.087087 0.90107
0.087588 0.90188
0.088088 0.90268
0.088589 0.90349
0.089089 0.9043
0.08959 0.90511
0.09009 0.90592
0.090591 0.90673
0.091091 0.90754
0.091592 0.90835
0.092092 0.90917
0.092593 0.90998
0.093093 0.9108
0.093594 0.91161
0.094094 0.91243
0.094595 0.91325
0.095095 0.91407
0.095596 0.91489
0.096096 0.91571
0.096597 0.91654
0.097097 0.91736
0.097598 0.91818
0.098098 0.91901
0.098599 0.91984
0.099099 0.92067
0.0996 0.92149
0.1001 0.92232
0.1006 0.92315
0.1011 0.92399
0.1016 0.92482
0.1021 0.92565
0.1026 0.92649
0.1031 0.92732
0.1036 0.92816
0.1041 0.929
0.1046 0.92984
0.10511 0.93068
0.10561 0.93152
0.10611 0.93236
0.10661 0.93321
0.10711 0.93405
0.10761 0.9349
0.10811 0.93574
0.10861 0.93659
0.10911 0.93744
0.10961 0.93829
0.11011 0.93914
0.11061 0.93999
0.11111 0.94084
0.11161 0.9417
0.11211 0.94255
0.11261 0.94341
0.11311 0.94427
0.11361 0.94513
0.11411 0.94598
0.11461 0.94685
0.11512 0.94771
0.11562 0.94857
0.11612 0.94943
0.11662 0.9503
0.11712 0.95116
0.11762 0.95203
0.11812 0.9529
0.11862 0.95377
0.11912 0.95464
0.11962 0.95551
0.12012 0.95638
0.12062 0.95726
0.12112 0.95813
0.12162 0.95901
0.12212 0.95988
0.12262 0.96076
0.12312 0.96164
0.12362 0.96252
0.12412 0.9634
0.12462 0.96428
0.12513 0.96517
0.12563 0.96605
0.12613 0.96694
0.12663 0.96782
0.12713 0.96871
0.12763 0.9696
0.12813 0.97049
0.12863 0.97138
0.12913 0.97227
0.12963 0.97316
0.13013 0.97406
0.13063 0.97495
0.13113 0.97585
0.13163 0.97675
0.13213 0.97764
0.13263 0.97854
0.13313 0.97944
0.13363 0.98034
0.13413 0.98125
0.13463 0.98215
0.13514 0.98305
0.13564 0.98396
0.13614 0.98487
0.13664 0.98577
0.13714 0.98668
0.13764 0.98759
0.13814 0.9885
0.13864 0.98941
0.13914 0.99032
0.13964 0.99124
0.14014 0.99215
0.14064 0.99306
0.14114 0.99398
0.14164 0.9949
0.14214 0.99581
0.14264 0.99673
0.14314 0.99765
0.14364 0.99857
0.14414 0.99949
0.14464 1.0004
0.14515 1.0013
0.14565 1.0023
0.14615 1.0032
0.14665 1.0041
0.14715 1.005
0.14765 1.006
0.14815 1.0069
0.14865 1.0078
0.14915 1.0087
0.14965 1.0097
0.15015 1.0106
0.15065 1.0115
0.15115 1.0125
0.15165 1.0134
0.15215 1.0143
0.15265 1.0153
0.15315 1.0162
0.15365 1.0171
0.15415 1.0181
0.15465 1.019
0.15516 1.02
0.15566 1.0209
0.15616 1.0218
0.15666 1.0228
0.15716 1.0237
0.15766 1.0247
0.15816 1.0256
0.15866 1.0265
0.15916 1.0275
0.15966 1.0284
0.16016 1.0294
0.16066 1.0303
0.16116 1.0312
0.16166 1.0322
0.16216 1.0331
0.16266 1.0341
0.16316 1.035
0.16366 1.036
0.16416 1.0369
0.16466 1.0379
0.16517 1.0388
0.16567 1.0398
0.16617 1.0407
0.16667 1.0416
0.16717 1.0426
0.16767 1.0435
0.16817 1.0445
0.16867 1.0454
0.16917 1.0464
0.16967 1.0473
0.17017 1.0483
0.17067 1.0492
0.17117 1.0502
0.17167 1.0511
0.17217 1.0521
0.17267 1.053
0.17317 1.054
0.17367 1.0549
0.17417 1.0558
0.17467 1.0568
0.17518 1.0577
0.17568 1.0587
0.17618 1.0596
0.17668 1.0606
0.17718 1.0615
0.17768 1.0625
0.17818 1.0634
0.17868 1.0643
0.17918 1.0653
0.17968 1.0662
0.18018 1.0672
0.18068 1.0681
0.18118 1.069
0.18168 1.07
0.18218 1.0709
0.18268 1.0719
0.18318 1.0728
0.18368 1.0737
0.18418 1.0747
0.18468 1.0756
0.18519 1.0765
0.18569 1.0775
0.18619 1.0784
0.18669 1.0793
0.18719 1.0802
0.18769 1.0812
0.18819 1.0821
