time quantity 
0 9.7429e-06
0.0013038 5.3097e-06
0.0026076 5.9414e-06
0.0039113 6.6179e-06
0.0052151 7.0121e-06
0.0065189 6.8911e-06
0.0078227 6.9617e-06
0.0091265 7.1207e-06
0.01043 6.6625e-06
0.011734 5.7484e-06
0.013038 5.5229e-06
0.014342 6.3075e-06
0.015645 7.0315e-06
0.016949 7.1085e-06
0.018253 6.8241e-06
0.019557 6.6773e-06
0.02086 6.6783e-06
0.022164 6.5414e-06
0.023468 6.3295e-06
0.024772 6.4079e-06
0.026076 6.7716e-06
0.027379 6.9612e-06
0.028683 6.7431e-06
0.029987 6.4738e-06
0.031291 6.6816e-06
0.032595 7.221e-06
0.033898 7.4672e-06
0.035202 7.1722e-06
0.036506 6.7242e-06
0.03781 6.6689e-06
0.039113 6.9233e-06
0.040417 6.9787e-06
0.041721 6.7139e-06
0.043025 6.529e-06
0.044329 6.736e-06
0.045632 7.0693e-06
0.046936 7.1466e-06
0.04824 6.9762e-06
0.049544 6.832e-06
0.050847 6.8051e-06
0.052151 6.711e-06
0.053455 6.4888e-06
0.054759 6.4074e-06
0.056063 6.6844e-06
0.057366 7.0717e-06
0.05867 7.1696e-06
0.059974 6.9192e-06
0.061278 6.6418e-06
0.062581 6.6242e-06
0.063885 6.7506e-06
0.065189 6.7821e-06
0.066493 6.7642e-06
0.067797 6.8999e-06
0.0691 7.1384e-06
0.070404 7.1995e-06
0.071708 6.9954e-06
0.073012 6.7944e-06
0.074316 6.8747e-06
0.075619 7.1055e-06
0.076923 7.1718e-06
0.078227 7.0575e-06
0.079531 7.0579e-06
0.080834 7.3072e-06
0.082138 7.5183e-06
0.083442 7.3873e-06
0.084746 7.0172e-06
0.08605 6.8404e-06
0.087353 7.0576e-06
0.088657 7.3629e-06
0.089961 7.4453e-06
0.091265 7.3744e-06
0.092568 7.3949e-06
0.093872 7.5009e-06
0.095176 7.451e-06
0.09648 7.1862e-06
0.097784 6.9921e-06
0.099087 7.129e-06
0.10039 7.4211e-06
0.10169 7.5223e-06
0.103 7.3937e-06
0.1043 7.3094e-06
0.10561 7.4272e-06
0.10691 7.5338e-06
0.10821 7.3898e-06
0.10952 7.1157e-06
0.11082 7.0783e-06
0.11213 7.3665e-06
0.11343 7.6501e-06
0.11473 7.6612e-06
0.11604 7.489e-06
0.11734 7.3873e-06
0.11864 7.4172e-06
0.11995 7.449e-06
0.12125 7.4643e-06
0.12256 7.5866e-06
0.12386 7.7894e-06
0.12516 7.834e-06
0.12647 7.6161e-06
0.12777 7.4146e-06
0.12907 7.593e-06
0.13038 8.0124e-06
0.13168 8.164e-06
0.13299 7.8373e-06
0.13429 7.4154e-06
0.13559 7.4762e-06
0.1369 7.9603e-06
0.1382 8.2637e-06
0.1395 8.0829e-06
0.14081 7.7133e-06
0.14211 7.6496e-06
0.14342 7.9121e-06
0.14472 8.0938e-06
0.14602 7.9938e-06
0.14733 7.8037e-06
0.14863 7.7622e-06
0.14993 7.8422e-06
0.15124 7.9227e-06
0.15254 8.0336e-06
0.15385 8.2019e-06
0.15515 8.2459e-06
0.15645 7.9917e-06
0.15776 7.6324e-06
0.15906 7.63e-06
0.16037 8.0522e-06
0.16167 8.3986e-06
0.16297 8.2947e-06
0.16428 7.9382e-06
0.16558 7.85e-06
