time error 
0 0.67005
0.036072 0.58161
0.072144 0.50002
0.10822 0.42568
0.14429 0.35921
0.18036 0.30159
0.21643 0.25422
0.25251 0.21895
0.28858 0.19747
0.32465 0.19007
0.36072 0.19458
0.39679 0.2072
0.43287 0.22419
0.46894 0.2428
0.50501 0.26125
0.54108 0.27853
0.57715 0.29405
0.61323 0.30754
0.6493 0.31889
0.68537 0.32808
0.72144 0.3352
0.75752 0.34037
0.79359 0.34373
0.82966 0.34545
0.86573 0.34572
0.9018 0.34472
0.93788 0.34266
0.97395 0.33972
1.01 0.3361
1.0461 0.33198
1.0822 0.32755
1.1182 0.32298
1.1543 0.31843
1.1904 0.31403
1.2265 0.30994
1.2625 0.30625
1.2986 0.30306
1.3347 0.30046
1.3707 0.29849
1.4068 0.2972
1.4429 0.29659
1.479 0.29668
1.515 0.29743
1.5511 0.29883
1.5872 0.30083
1.6232 0.30338
1.6593 0.30642
1.6954 0.30991
1.7315 0.31378
1.7675 0.31796
1.8036 0.32241
1.8397 0.32706
1.8758 0.33185
1.9118 0.33674
1.9479 0.34167
1.984 0.3466
2.02 0.35147
2.0561 0.35623
2.0922 0.36086
2.1283 0.3653
2.1643 0.36952
2.2004 0.37349
2.2365 0.37717
2.2725 0.38055
2.3086 0.38359
2.3447 0.38628
2.3808 0.38861
2.4168 0.39059
2.4529 0.3922
2.489 0.39346
2.5251 0.39439
2.5611 0.39501
2.5972 0.39535
2.6333 0.39545
2.6693 0.39535
2.7054 0.3951
2.7415 0.39475
2.7776 0.39435
2.8136 0.39397
2.8497 0.39365
2.8858 0.39344
2.9218 0.3934
2.9579 0.39355
2.994 0.39394
3.0301 0.39458
3.0661 0.3955
3.1022 0.39669
3.1383 0.39815
3.1743 0.39987
3.2104 0.40182
3.2465 0.40398
3.2826 0.4063
3.3186 0.40875
3.3547 0.4113
3.3908 0.41389
3.4269 0.41649
3.4629 0.41907
3.499 0.42158
3.5351 0.424
3.5711 0.42631
3.6072 0.4285
3.6433 0.43055
3.6794 0.43246
3.7154 0.43424
3.7515 0.4359
3.7876 0.43744
3.8236 0.4389
3.8597 0.4403
3.8958 0.44165
3.9319 0.443
3.9679 0.44437
4.004 0.44577
4.0401 0.44725
4.0762 0.44883
4.1122 0.45051
4.1483 0.45232
4.1844 0.45426
4.2204 0.45635
4.2565 0.45857
4.2926 0.46092
4.3287 0.4634
4.3647 0.46599
4.4008 0.46867
4.4369 0.47143
4.4729 0.47426
4.509 0.47713
4.5451 0.48004
4.5812 0.48297
4.6172 0.48592
4.6533 0.48888
4.6894 0.49185
4.7255 0.49484
4.7615 0.49786
4.7976 0.50092
4.8337 0.50403
4.8697 0.50722
4.9058 0.51051
4.9419 0.5139
4.978 0.51742
5.014 0.52108
5.0501 0.52488
5.0862 0.52883
5.1222 0.53292
5.1583 0.53715
5.1944 0.54149
5.2305 0.54593
5.2665 0.55044
5.3026 0.55499
5.3387 0.55954
5.3747 0.56407
5.4108 0.56853
5.4469 0.57291
5.483 0.57717
5.519 0.58129
5.5551 0.58526
5.5912 0.58908
5.6273 0.59275
5.6633 0.59628
5.6994 0.59969
5.7355 0.60301
5.7715 0.60628
5.8076 0.60953
5.8437 0.61282
5.8798 0.61618
5.9158 0.61965
5.9519 0.62327
5.988 0.62707
6.024 0.63108
6.0601 0.6353
6.0962 0.63973
6.1323 0.64436
6.1683 0.64916
6.2044 0.65411
6.2405 0.65915
6.2766 0.66423
6.3126 0.66931
6.3487 0.67432
6.3848 0.67922
6.4208 0.68396
6.4569 0.6885
6.493 0.6928
6.5291 0.69686
6.5651 0.70066
6.6012 0.70422
6.6373 0.70755
6.6733 0.7107
6.7094 0.7137
6.7455 0.7166
6.7816 0.71946
6.8176 0.72234
6.8537 0.72528
6.8898 0.72834
6.9259 0.73156
6.9619 0.73496
6.998 0.73855
7.0341 0.74235
7.0701 0.74632
7.1062 0.75045
7.1423 0.75469
7.1784 0.759
7.2144 0.76333
7.2505 0.76761
7.2866 0.77181
7.3226 0.77586
7.3587 0.77973
7.3948 0.78339
7.4309 0.78683
7.4669 0.79003
7.503 0.79301
7.5391 0.79579
7.5752 0.7984
7.6112 0.80088
7.6473 0.80327
7.6834 0.80561
7.7194 0.80795
7.7555 0.81033
7.7916 0.81279
7.8277 0.81534
7.8637 0.818
7.8998 0.82078
7.9359 0.82366
7.9719 0.82663
8.008 0.82966
8.0441 0.83273
8.0802 0.83581
8.1162 0.83886
8.1523 0.84186
8.1884 0.84477
8.2244 0.84759
8.2605 0.85029
8.2966 0.85288
8.3327 0.85535
8.3687 0.85773
8.4048 0.86002
8.4409 0.86224
8.477 0.86441
