time energy 
0 0.55975
0.06 0.55975
0.12 0.55975
0.18 0.55975
0.24 0.55975
0.3 0.55975
0.36 0.55975
0.42 0.55975
0.48 0.55975
0.54 0.55975
0.6 0.55975
0.66 0.55975
0.72 0.55975
0.78 0.55975
0.84 0.55975
0.9 0.55975
0.96 0.55975
1.02 0.55975
1.08 0.55975
1.14 0.55975
1.2 0.55975
1.26 0.55975
1.32 0.55975
1.38 0.55975
1.44 0.55975
1.5 0.55975
1.56 0.55975
1.62 0.55975
1.68 0.55975
1.74 0.55975
1.8 0.55975
1.86 0.55975
1.92 0.55975
1.98 0.55975
2.04 0.55975
2.1 0.55975
2.16 0.55975
2.22 0.55975
2.28 0.55975
2.34 0.55975
2.4 0.55975
2.46 0.55975
2.52 0.55975
2.58 0.55975
2.64 0.55975
2.7 0.55975
2.76 0.55975
2.82 0.55975
2.88 0.55975
2.94 0.55975
3 0.55975
3.06 0.55975
3.12 0.55975
3.18 0.55975
3.24 0.55975
3.3 0.55975
3.36 0.55975
3.42 0.55975
3.48 0.55975
3.54 0.55975
3.6 0.55975
3.66 0.55975
3.72 0.55975
3.78 0.55975
3.84 0.55975
3.9 0.55975
3.96 0.55975
4.02 0.55975
4.08 0.55975
4.14 0.55975
4.2 0.55975
4.26 0.55975
4.32 0.55975
4.38 0.55975
4.44 0.55975
4.5 0.55975
4.56 0.55975
4.62 0.55975
4.68 0.55975
4.74 0.55975
4.8 0.55975
4.86 0.55975
4.92 0.55975
4.98 0.55975
5.04 0.55975
5.1 0.55975
5.16 0.55975
5.22 0.55975
5.28 0.55975
5.34 0.55975
5.4 0.55975
5.46 0.55975
5.52 0.55975
5.58 0.55975
5.64 0.55975
5.7 0.55975
5.76 0.55975
5.82 0.55975
5.88 0.55975
5.94 0.55975
6 0.55975
6.06 0.55975
6.12 0.55975
6.18 0.55975
6.24 0.55975
6.3 0.55975
6.36 0.55975
6.42 0.55975
6.48 0.55975
6.54 0.55975
6.6 0.55975
6.66 0.55975
6.72 0.55975
6.78 0.55975
6.84 0.55975
6.9 0.55975
6.96 0.55975
7.02 0.55975
7.08 0.55975
7.14 0.55975
7.2 0.55975
7.26 0.55975
7.32 0.55975
7.38 0.55975
7.44 0.55975
7.5 0.55975
7.56 0.55975
7.62 0.55975
7.68 0.55975
7.74 0.55975
7.8 0.55975
7.86 0.55975
7.92 0.55975
7.98 0.55975
8.04 0.55975
8.1 0.55975
8.16 0.55975
8.22 0.55975
8.28 0.55975
8.34 0.55975
8.4 0.55975
8.46 0.55975
8.52 0.55975
8.58 0.55975
8.64 0.55975
8.7 0.55975
8.76 0.55975
8.82 0.55975
8.88 0.55975
8.94 0.55975
9 0.55975
9.06 0.55975
9.12 0.55975
9.18 0.55975
9.24 0.55975
9.3 0.55975
9.36 0.55975
9.42 0.55975
9.48 0.55976
9.54 0.55976
9.6 0.55976
9.66 0.55976
9.72 0.55976
9.78 0.55976
9.84 0.55976
9.9 0.55976
9.96 0.55976
10.02 0.55976
10.08 0.55976
10.14 0.55976
10.2 0.55976
10.26 0.55976
10.32 0.55976
10.38 0.55976
10.44 0.55977
10.5 0.55977
10.56 0.55977
10.62 0.55977
10.68 0.55977
10.74 0.55977
10.8 0.55977
10.86 0.55977
10.92 0.55977
10.98 0.55978
11.04 0.55978
11.1 0.55978
11.16 0.55978
11.22 0.55978
11.28 0.55978
11.34 0.55979
11.4 0.55979
11.46 0.55979
11.52 0.55979
11.58 0.55979
11.64 0.5598
11.7 0.5598
11.76 0.5598
11.82 0.55981
11.88 0.55981
11.94 0.55981
12 0.55982
12.06 0.55982
12.12 0.55983
12.18 0.55983
12.24 0.55984
12.3 0.55984
12.36 0.55985
12.42 0.55986
12.48 0.55986
12.54 0.55987
12.6 0.55988
12.66 0.55989
12.72 0.5599
12.78 0.55991
12.84 0.55992
12.9 0.55993
12.96 0.55995
13.02 0.55996
13.08 0.55998
13.14 0.55999
13.2 0.56001
13.26 0.56003
13.32 0.56005
13.38 0.56008
13.44 0.5601
13.5 0.56013
13.56 0.56016
13.62 0.56019
13.68 0.56022
13.74 0.56026
13.8 0.5603
13.86 0.56034
13.92 0.56039
13.98 0.56044
14.04 0.56049
14.1 0.56055
14.16 0.56061
14.22 0.56068
14.28 0.56075
14.34 0.56082
14.4 0.56091
14.46 0.56099
14.52 0.56109
14.58 0.56118
14.64 0.56129
14.7 0.5614
14.76 0.56152
14.82 0.56165
14.88 0.56178
14.94 0.56192
15 0.56207
15.06 0.56223
15.12 0.5624
15.18 0.56257
15.24 0.56276
15.3 0.56295
15.36 0.56315
15.42 0.56336
15.48 0.56358
15.54 0.56381
15.6 0.56405
15.66 0.56429
15.72 0.56455
15.78 0.56482
15.84 0.5651
15.9 0.56539
15.96 0.56569
16.02 0.566
16.08 0.56633
16.14 0.56667
16.2 0.56703
16.26 0.56742
16.32 0.56782
16.38 0.56826
16.44 0.56873
16.5 0.56923
16.56 0.56979
16.62 0.5704
16.68 0.57108
16.74 0.57184
16.8 0.57269
16.86 0.57365
16.92 0.57475
16.98 0.57601
17.04 0.57746
17.1 0.57913
17.16 0.58107
17.22 0.58332
17.28 0.58595
17.34 0.58903
17.4 0.59265
17.46 0.59691
17.52 0.60197
17.58 0.60799
17.64 0.61521
17.7 0.62395
17.76 0.63462
17.82 0.64782
17.88 0.66441
17.94 0.68566
18 0.71355
