time energy 
0 0.55975
0.06 0.55975
0.12 0.55975
0.18 0.55975
0.24 0.55975
0.3 0.55975
0.36 0.55975
0.42 0.55975
0.48 0.55975
0.54 0.55975
0.6 0.55975
0.66 0.55975
0.72 0.55975
0.78 0.55975
0.84 0.55975
0.9 0.55975
0.96 0.55975
1.02 0.55975
1.08 0.55975
1.14 0.55975
1.2 0.55975
1.26 0.55975
1.32 0.55975
1.38 0.55975
1.44 0.55975
1.5 0.55975
1.56 0.55975
1.62 0.55975
1.68 0.55975
1.74 0.55975
1.8 0.55975
1.86 0.55975
1.92 0.55975
1.98 0.55975
2.04 0.55975
2.1 0.55975
2.16 0.55975
2.22 0.55975
2.28 0.55975
2.34 0.55975
2.4 0.55975
2.46 0.55975
2.52 0.55975
2.58 0.55975
2.64 0.55975
2.7 0.55975
2.76 0.55975
2.82 0.55975
2.88 0.55975
2.94 0.55975
3 0.55975
3.06 0.55975
3.12 0.55975
3.18 0.55975
3.24 0.55975
3.3 0.55975
3.36 0.55975
3.42 0.55975
3.48 0.55975
3.54 0.55975
3.6 0.55975
3.66 0.55975
3.72 0.55975
3.78 0.55975
3.84 0.55975
3.9 0.55975
3.96 0.55975
4.02 0.55975
4.08 0.55975
4.14 0.55975
4.2 0.55975
4.26 0.55975
4.32 0.55975
4.38 0.55975
4.44 0.55975
4.5 0.55975
4.56 0.55975
4.62 0.55975
4.68 0.55975
4.74 0.55975
4.8 0.55975
4.86 0.55975
4.92 0.55975
4.98 0.55975
5.04 0.55975
5.1 0.55975
5.16 0.55975
5.22 0.55975
5.28 0.55975
5.34 0.55975
5.4 0.55975
5.46 0.55975
5.52 0.55975
5.58 0.55975
5.64 0.55975
5.7 0.55975
5.76 0.55975
5.82 0.55975
5.88 0.55975
5.94 0.55975
6 0.55975
6.06 0.55975
6.12 0.55975
6.18 0.55975
6.24 0.55975
6.3 0.55975
6.36 0.55975
6.42 0.55975
6.48 0.55975
6.54 0.55975
6.6 0.55975
6.66 0.55975
6.72 0.55975
6.78 0.55975
6.84 0.55975
6.9 0.55975
6.96 0.55975
7.02 0.55975
7.08 0.55975
7.14 0.55975
7.2 0.55975
7.26 0.55975
7.32 0.55975
7.38 0.55975
7.44 0.55975
7.5 0.55975
7.56 0.55975
7.62 0.55975
7.68 0.55975
7.74 0.55975
7.8 0.55975
7.86 0.55975
7.92 0.55975
7.98 0.55975
8.04 0.55975
8.1 0.55975
8.16 0.55975
8.22 0.55975
8.28 0.55975
8.34 0.55974
8.4 0.55974
8.46 0.55974
8.52 0.55974
8.58 0.55974
8.64 0.55974
8.7 0.55974
8.76 0.55974
8.82 0.55974
8.88 0.55974
8.94 0.55974
9 0.55974
9.06 0.55974
9.12 0.55974
9.18 0.55974
9.24 0.55974
9.3 0.55974
9.36 0.55974
9.42 0.55974
9.48 0.55974
9.54 0.55974
9.6 0.55974
9.66 0.55974
9.72 0.55974
9.78 0.55974
9.84 0.55974
9.9 0.55974
9.96 0.55974
10.02 0.55973
10.08 0.55973
10.14 0.55973
10.2 0.55973
10.26 0.55973
10.32 0.55973
10.38 0.55973
10.44 0.55973
10.5 0.55973
10.56 0.55973
10.62 0.55973
10.68 0.55973
10.74 0.55972
10.8 0.55972
10.86 0.55972
10.92 0.55972
10.98 0.55972
11.04 0.55972
11.1 0.55972
11.16 0.55971
11.22 0.55971
11.28 0.55971
11.34 0.55971
11.4 0.55971
11.46 0.5597
11.52 0.5597
11.58 0.5597
11.64 0.5597
11.7 0.55969
11.76 0.55969
11.82 0.55969
11.88 0.55968
11.94 0.55968
12 0.55968
12.06 0.55967
12.12 0.55967
12.18 0.55966
12.24 0.55966
12.3 0.55965
12.36 0.55965
12.42 0.55964
12.48 0.55963
12.54 0.55962
12.6 0.55962
12.66 0.55961
12.72 0.5596
12.78 0.55959
12.84 0.55957
12.9 0.55956
12.96 0.55955
13.02 0.55953
13.08 0.55952
13.14 0.5595
13.2 0.55948
13.26 0.55946
13.32 0.55944
13.38 0.55942
13.44 0.55939
13.5 0.55937
13.56 0.55934
13.62 0.55931
13.68 0.55927
13.74 0.55923
13.8 0.5592
13.86 0.55915
13.92 0.55911
13.98 0.55906
14.04 0.559
14.1 0.55895
14.16 0.55888
14.22 0.55882
14.28 0.55875
14.34 0.55867
14.4 0.55859
14.46 0.5585
14.52 0.55841
14.58 0.55831
14.64 0.5582
14.7 0.55809
14.76 0.55797
14.82 0.55785
14.88 0.55771
14.94 0.55757
15 0.55742
15.06 0.55726
15.12 0.5571
15.18 0.55692
15.24 0.55674
15.3 0.55654
15.36 0.55634
15.42 0.55613
15.48 0.55591
15.54 0.55569
15.6 0.55545
15.66 0.5552
15.72 0.55494
15.78 0.55468
15.84 0.5544
15.9 0.55411
15.96 0.55381
16.02 0.55349
16.08 0.55317
16.14 0.55282
16.2 0.55246
16.26 0.55208
16.32 0.55167
16.38 0.55124
16.44 0.55077
16.5 0.55026
16.56 0.5497
16.62 0.54909
16.68 0.54842
16.74 0.54766
16.8 0.54681
16.86 0.54584
16.92 0.54474
16.98 0.54348
17.04 0.54204
17.1 0.54037
17.16 0.53843
17.22 0.53617
17.28 0.53354
17.34 0.53047
17.4 0.52685
17.46 0.52258
17.52 0.51753
17.58 0.51151
17.64 0.50428
17.7 0.49555
17.76 0.48488
17.82 0.47168
17.88 0.45509
17.94 0.43384
18 0.40594
