time error 
0 0.55956
0.036072 0.55956
0.072144 0.55956
0.10822 0.55956
0.14429 0.55956
0.18036 0.55956
0.21643 0.55956
0.25251 0.55956
0.28858 0.55956
0.32465 0.55956
0.36072 0.55956
0.39679 0.55956
0.43287 0.55956
0.46894 0.55956
0.50501 0.55956
0.54108 0.55956
0.57715 0.55956
0.61323 0.55956
0.6493 0.55956
0.68537 0.55956
0.72144 0.55956
0.75752 0.55956
0.79359 0.55956
0.82966 0.55956
0.86573 0.55956
0.9018 0.55956
0.93788 0.55956
0.97395 0.55956
1.01 0.55956
1.0461 0.55956
1.0822 0.55956
1.1182 0.55956
1.1543 0.55956
1.1904 0.55956
1.2265 0.55956
1.2625 0.55956
1.2986 0.55956
1.3347 0.55956
1.3707 0.55956
1.4068 0.55956
1.4429 0.55956
1.479 0.55956
1.515 0.55956
1.5511 0.55956
1.5872 0.55956
1.6232 0.55956
1.6593 0.55956
1.6954 0.55956
1.7315 0.55956
1.7675 0.55956
1.8036 0.55956
1.8397 0.55956
1.8758 0.55956
1.9118 0.55956
1.9479 0.55956
1.984 0.55956
2.02 0.55956
2.0561 0.55956
2.0922 0.55956
2.1283 0.55956
2.1643 0.55956
2.2004 0.55956
2.2365 0.55956
2.2725 0.55956
2.3086 0.55956
2.3447 0.55956
2.3808 0.55956
2.4168 0.55956
2.4529 0.55956
2.489 0.55956
2.5251 0.55956
2.5611 0.55956
2.5972 0.55956
2.6333 0.55956
2.6693 0.55956
2.7054 0.55956
2.7415 0.55956
2.7776 0.55956
2.8136 0.55956
2.8497 0.55956
2.8858 0.55956
2.9218 0.55956
2.9579 0.55956
2.994 0.55956
3.0301 0.55956
3.0661 0.55956
3.1022 0.55956
3.1383 0.55956
3.1743 0.55956
3.2104 0.55956
3.2465 0.55956
3.2826 0.55956
3.3186 0.55956
3.3547 0.55956
3.3908 0.55956
3.4269 0.55956
3.4629 0.55956
3.499 0.55956
3.5351 0.55956
3.5711 0.55956
3.6072 0.55956
3.6433 0.55956
3.6794 0.55956
3.7154 0.55956
3.7515 0.55956
3.7876 0.55956
3.8236 0.55956
3.8597 0.55956
3.8958 0.55956
3.9319 0.55956
3.9679 0.55956
4.004 0.55956
4.0401 0.55956
4.0762 0.55956
4.1122 0.55956
4.1483 0.55956
4.1844 0.55956
4.2204 0.55956
4.2565 0.55956
4.2926 0.55956
4.3287 0.55956
4.3647 0.55956
4.4008 0.55956
4.4369 0.55956
4.4729 0.55956
4.509 0.55956
4.5451 0.55956
4.5812 0.55956
4.6172 0.55956
4.6533 0.55956
4.6894 0.55956
4.7255 0.55956
4.7615 0.55956
4.7976 0.55956
4.8337 0.55956
4.8697 0.55956
4.9058 0.55956
4.9419 0.55956
4.978 0.55956
5.014 0.55956
5.0501 0.55956
5.0862 0.55956
5.1222 0.55956
5.1583 0.55956
5.1944 0.55956
5.2305 0.55956
5.2665 0.55956
5.3026 0.55956
5.3387 0.55956
5.3747 0.55956
5.4108 0.55956
5.4469 0.55956
5.483 0.55956
5.519 0.55956
5.5551 0.55956
5.5912 0.55956
5.6273 0.55956
5.6633 0.55956
5.6994 0.55956
5.7355 0.55956
5.7715 0.55956
5.8076 0.55956
5.8437 0.55956
5.8798 0.55956
5.9158 0.55956
5.9519 0.55956
5.988 0.55956
6.024 0.55956
6.0601 0.55956
6.0962 0.55956
6.1323 0.55956
6.1683 0.55956
6.2044 0.55956
6.2405 0.55956
6.2766 0.55956
6.3126 0.55956
6.3487 0.55956
6.3848 0.55956
6.4208 0.55956
6.4569 0.55956
6.493 0.55956
6.5291 0.55956
6.5651 0.55956
6.6012 0.55956
6.6373 0.55956
6.6733 0.55956
6.7094 0.55956
6.7455 0.55956
6.7816 0.55956
6.8176 0.55956
6.8537 0.55956
6.8898 0.55956
6.9259 0.55956
6.9619 0.55956
6.998 0.55956
7.0341 0.55956
7.0701 0.55956
7.1062 0.55956
7.1423 0.55956
7.1784 0.55956
7.2144 0.55956
7.2505 0.55956
7.2866 0.55956
7.3226 0.55956
7.3587 0.55956
7.3948 0.55956
7.4309 0.55956
7.4669 0.55956
7.503 0.55956
7.5391 0.55956
7.5752 0.55956
7.6112 0.55956
7.6473 0.55956
7.6834 0.55956
7.7194 0.55956
7.7555 0.55956
7.7916 0.55956
7.8277 0.55956
7.8637 0.55956
7.8998 0.55956
7.9359 0.55956
7.9719 0.55956
8.008 0.55956
8.0441 0.55956
8.0802 0.55956
8.1162 0.55956
8.1523 0.55956
8.1884 0.55956
8.2244 0.55956
8.2605 0.55956
8.2966 0.55956
8.3327 0.55956
8.3687 0.55956
8.4048 0.55956
8.4409 0.55956
8.477 0.55956
8.513 0.55956
8.5491 0.55956
8.5852 0.55956
8.6212 0.55956
8.6573 0.55956
8.6934 0.55956
8.7295 0.55956
8.7655 0.55956
8.8016 0.55956
8.8377 0.55956
8.8737 0.55956
8.9098 0.55956
8.9459 0.55956
8.982 0.55956
9.018 0.55956
9.0541 0.55956
9.0902 0.55956
9.1263 0.55956
9.1623 0.55956
9.1984 0.55956
9.2345 0.55956
9.2705 0.55956
9.3066 0.55956
9.3427 0.55956
9.3788 0.55956
9.4148 0.55956
9.4509 0.55956
9.487 0.55956
9.523 0.55956
9.5591 0.55956
9.5952 0.55956
9.6313 0.55956
9.6673 0.55956
9.7034 0.55956
9.7395 0.55956
9.7756 0.55956
9.8116 0.55956
9.8477 0.55956
9.8838 0.55956
9.9198 0.55956
9.9559 0.55956
9.992 0.55956
10.028 0.55956
10.064 0.55956
10.1 0.55956
10.136 0.55956
10.172 0.55956
10.208 0.55956
10.244 0.55956
10.281 0.55956
10.317 0.55956
10.353 0.55956
10.389 0.55956
10.425 0.55956
10.461 0.55956
10.497 0.55956
10.533 0.55956
10.569 0.55956
10.605 0.55956
10.641 0.55956
10.677 0.55956
10.713 0.55956
10.749 0.55956
10.786 0.55956
10.822 0.55956
10.858 0.55956
10.894 0.55956
10.93 0.55956
10.966 0.55956
11.002 0.55956
11.038 0.55956
11.074 0.55956
11.11 0.55956
11.146 0.55956
11.182 0.55956
11.218 0.55956
11.255 0.55956
11.291 0.55956
11.327 0.55956
11.363 0.55956
11.399 0.55956
11.435 0.55956
11.471 0.55956
11.507 0.55956
11.543 0.55956
11.579 0.55956
11.615 0.55956
11.651 0.55956
11.687 0.55956
11.723 0.55956
11.76 0.55956
11.796 0.55956
11.832 0.55956
11.868 0.55956
11.904 0.55956
11.94 0.55956
11.976 0.55956
12.012 0.55956
12.048 0.55956
12.084 0.55956
12.12 0.55956
12.156 0.55956
12.192 0.55956
12.228 0.55956
12.265 0.55956
12.301 0.55956
12.337 0.55956
12.373 0.55956
12.409 0.55956
12.445 0.55956
12.481 0.55956
12.517 0.55956
12.553 0.55956
12.589 0.55956
12.625 0.55956
12.661 0.55956
12.697 0.55956
12.733 0.55956
12.77 0.55956
12.806 0.55956
12.842 0.55956
12.878 0.55956
12.914 0.55956
12.95 0.55956
12.986 0.55956
13.022 0.55956
13.058 0.55956
13.094 0.55956
13.13 0.55956
13.166 0.55956
13.202 0.55956
13.238 0.55956
13.275 0.55956
13.311 0.55956
13.347 0.55956
13.383 0.55956
13.419 0.55956
13.455 0.55956
13.491 0.55956
13.527 0.55956
13.563 0.55956
13.599 0.55956
13.635 0.55956
13.671 0.55956
13.707 0.55956
13.743 0.55956
13.78 0.55956
13.816 0.55956
13.852 0.55956
13.888 0.55956
13.924 0.55956
13.96 0.55956
13.996 0.55956
14.032 0.55956
14.068 0.55956
14.104 0.55956
14.14 0.55956
14.176 0.55956
14.212 0.55956
14.248 0.55956
14.285 0.55956
14.321 0.55956
14.357 0.55956
14.393 0.55956
14.429 0.55956
14.465 0.55956
14.501 0.55956
14.537 0.55956
14.573 0.55956
14.609 0.55956
14.645 0.55956
14.681 0.55956
14.717 0.55956
14.754 0.55956
14.79 0.55956
14.826 0.55956
14.862 0.55956
14.898 0.55956
14.934 0.55956
14.97 0.55956
15.006 0.55956
15.042 0.55956
15.078 0.55956
15.114 0.55956
15.15 0.55956
15.186 0.55956
15.222 0.55956
15.259 0.55956
15.295 0.55956
15.331 0.55956
15.367 0.55956
15.403 0.55956
15.439 0.55956
15.475 0.55956
15.511 0.55956
15.547 0.55956
15.583 0.55956
15.619 0.55956
15.655 0.55956
15.691 0.55956
15.727 0.55956
15.764 0.55956
15.8 0.55956
15.836 0.55956
15.872 0.55956
15.908 0.55956
15.944 0.55956
15.98 0.55956
16.016 0.55956
16.052 0.55956
16.088 0.55956
16.124 0.55956
16.16 0.55956
16.196 0.55956
16.232 0.55956
16.269 0.55956
16.305 0.55956
16.341 0.55956
16.377 0.55956
16.413 0.55956
16.449 0.55956
16.485 0.55956
16.521 0.55956
16.557 0.55956
16.593 0.55956
16.629 0.55956
16.665 0.55956
16.701 0.55956
16.737 0.55956
16.774 0.55956
16.81 0.55956
16.846 0.55956
16.882 0.55956
16.918 0.55956
16.954 0.55956
16.99 0.55956
17.026 0.55956
17.062 0.55956
17.098 0.55956
17.134 0.55956
17.17 0.55956
17.206 0.55956
17.242 0.55956
17.279 0.55956
17.315 0.55956
17.351 0.55956
17.387 0.55956
17.423 0.55956
17.459 0.55956
17.495 0.55956
17.531 0.55956
17.567 0.55956
17.603 0.55956
17.639 0.55956
17.675 0.55956
17.711 0.55956
17.747 0.55956
17.784 0.55956
17.82 0.55956
17.856 0.55956
17.892 0.55956
17.928 0.55956
17.964 0.55956
18 0.55956
